block_id,title,description,source_url
16942017,zone_map.jpg,,https://www.provenwinners.com/sites/provenwinners.com/files/images/articles/zone_map.jpg
12639457,Niger River - Wikipedia,Niger River,https://en.wikipedia.org/wiki/Niger_River#/media/File:Mali.A2001291.1045.250m.jpg
17158217,Sabaeans - Wikipedia,"Not to be confused with the Sabians, also spelled Sabaeans or Sabeans, a religious group mentioned in the Quran whose name was adopted by various sects.",https://en.wikipedia.org/wiki/Sabaeans#/media/File:Jemen1988-022_hg.jpg
17825074,626f8b0d52c38ab283617566_figure-1-base-map-and-pictorial-analysis-of-odeda-farm-settlement.jpg,,https://uploads-ssl.webflow.com/600dde917e43ed381bd8c57b/626f8b0d52c38ab283617566_Figure%201%20%20Base%20Map%20and%20Pictorial%20Analysis%20of%20Odeda%20Farm%20Settlement.jpg
20931885,afr_ngsm.jpg,,https://esdac.jrc.ec.europa.eu/images/Eudasm/Africa/images/maps/download/afr_ngsm.jpg
29916561,Bamboo moon gate,,https://arena-images-temp.s3.amazonaws.com/function+%28t%2Cf%2Cu%29%7Bvar+l%3Df%26%26u%7C%7C0%3B%27string%27%3D%3Dtypeof+t%26%26%28f%3D%27binary%27%3D%3D%3Dt%3Fnew+Array%2816%29%3Anull%2Ct%3Dnull%29%3Bvar+v%3D%28t%3Dt%7C%7C%7B%7D%29.random%7C%7C%28t.rng%7C%7Cn%29%28%29%3Bif%28v%5B6%5D%3D15%26v%5B6%5D%7C64%2Cv%5B8%5D%3D63%26v%5B8%5D%7C128%2Cf%29for%28var+y%3D0%3By%3C16%3B%2B%2By%29f%5Bl%2By%5D%3Dv%5By%5D%3Breturn+f%7C%7Co%28v%29%7D%2F18043FF5-76F5-445E-B0BE-1BC5F4D05245.jpg
19170533,Colonial Nigeria - Wikipedia,Colony and Protectorate of Nigeria(1914–1954),https://en.wikipedia.org/wiki/Colonial_Nigeria#/media/File:COLLECTIE_TROPENMUSEUM_Houten_roeiboot_onderdeel_van_de_miniatuurvoorstelling_van_een_roeiboot_met_een_Europeaan_en_vier_roeiers._TMnr_3441-7a.jpg
19456947,"Pg 248, DEBT: The First 5000 Years - David Graeber","Pg 248, DEBT: The First 5000 Years - David Graeber",https://arena-images-temp.s3.amazonaws.com/function+%28t%2Cf%2Cu%29%7Bvar+l%3Df%26%26u%7C%7C0%3B%27string%27%3D%3Dtypeof+t%26%26%28f%3D%27binary%27%3D%3D%3Dt%3Fnew+Array%2816%29%3Anull%2Ct%3Dnull%29%3Bvar+v%3D%28t%3Dt%7C%7C%7B%7D%29.random%7C%7C%28t.rng%7C%7Cn%29%28%29%3Bif%28v%5B6%5D%3D15%26v%5B6%5D%7C64%2Cv%5B8%5D%3D63%26v%5B8%5D%7C128%2Cf%29for%28var+y%3D0%3By%3C16%3B%2B%2By%29f%5Bl%2By%5D%3Dv%5By%5D%3Breturn+f%7C%7Co%28v%29%7D%2FIMG_6050.jpg
19457064,"Pg 249, DEBT: The First 5000 Years - David Graeber","Pg 249, DEBT: The First 5000 Years - David Graeber",https://arena-images-temp.s3.amazonaws.com/function+%28t%2Cf%2Cu%29%7Bvar+l%3Df%26%26u%7C%7C0%3B%27string%27%3D%3Dtypeof+t%26%26%28f%3D%27binary%27%3D%3D%3Dt%3Fnew+Array%2816%29%3Anull%2Ct%3Dnull%29%3Bvar+v%3D%28t%3Dt%7C%7C%7B%7D%29.random%7C%7C%28t.rng%7C%7Cn%29%28%29%3Bif%28v%5B6%5D%3D15%26v%5B6%5D%7C64%2Cv%5B8%5D%3D63%26v%5B8%5D%7C128%2Cf%29for%28var+y%3D0%3By%3C16%3B%2B%2By%29f%5Bl%2By%5D%3Dv%5By%5D%3Breturn+f%7C%7Co%28v%29%7D%2FIMG_6051.jpg
19457070,"Pg 250, DEBT: The First 5000 Years - David Graeber","Pg 250, DEBT: The First 5000 Years - David Graeber",https://arena-images-temp.s3.amazonaws.com/function+%28t%2Cf%2Cu%29%7Bvar+l%3Df%26%26u%7C%7C0%3B%27string%27%3D%3Dtypeof+t%26%26%28f%3D%27binary%27%3D%3D%3Dt%3Fnew+Array%2816%29%3Anull%2Ct%3Dnull%29%3Bvar+v%3D%28t%3Dt%7C%7C%7B%7D%29.random%7C%7C%28t.rng%7C%7Cn%29%28%29%3Bif%28v%5B6%5D%3D15%26v%5B6%5D%7C64%2Cv%5B8%5D%3D63%26v%5B8%5D%7C128%2Cf%29for%28var+y%3D0%3By%3C16%3B%2B%2By%29f%5Bl%2By%5D%3Dv%5By%5D%3Breturn+f%7C%7Co%28v%29%7D%2FIMG_6052.jpg
19457072,"Pg 230, DEBT: The First 5000 Years - David Graeber","Pg 230, DEBT: The First 5000 Years - David Graeber",https://arena-images-temp.s3.amazonaws.com/function+%28t%2Cf%2Cu%29%7Bvar+l%3Df%26%26u%7C%7C0%3B%27string%27%3D%3Dtypeof+t%26%26%28f%3D%27binary%27%3D%3D%3Dt%3Fnew+Array%2816%29%3Anull%2Ct%3Dnull%29%3Bvar+v%3D%28t%3Dt%7C%7C%7B%7D%29.random%7C%7C%28t.rng%7C%7Cn%29%28%29%3Bif%28v%5B6%5D%3D15%26v%5B6%5D%7C64%2Cv%5B8%5D%3D63%26v%5B8%5D%7C128%2Cf%29for%28var+y%3D0%3By%3C16%3B%2B%2By%29f%5Bl%2By%5D%3Dv%5By%5D%3Breturn+f%7C%7Co%28v%29%7D%2FIMG_6057.jpg
